0,1,2
#4a332a,#b3aaa0,#f4f2ee
#bec7df,#735058,#0c0a0b
#d2b8a3,#946549,#301e13
#bdc7bf,#48678f,#101f3a
#1a0406,#b9aba0,#8d363a
#1dcde9,#c4dcd2,#29322c
#362d29,#f8f7f4,#c0a57b
#070405,#48403e,#e3e2dd
#1f0706,#c23f12,#f3b149
#fcfcfc,#322c27,#b88b8d
#be9473,#069791,#7d100f
#321a19,#af786c,#eaeff1
#32485b,#10151b,#869eb0
#ccaa9e,#27201e,#935849
#d4adaa,#3a2a2d,#8f6466
#150e0b,#cd972f,#f6d894
#2c110a,#a55229,#e4bf96
0,0,0
#993126,#23425c,#cbcfb0
#803d5d,#e5e8f0,#080410
#ba7447,#ecd9b6,#423531
#b7a77c,#080705,#362d19
0,0,0
#503f3a,#b37541,#d7d1c1
#010309,#90b7c8,#254664
#5b697b,#fdfdfc,#e8cc68
#596a40,#11190b,#c8c08b
#c2a577,#0f0c0e,#534255
#9ac2c8,#47608b,#1c2222
#f1cdbc,#c75037,#210404
#ecf2ed,#5e3e1c,#cd9f4d
#e4d4c4,#151214,#896856
#71684c,#ceccb5,#271e12
#6e383a,#ab9692,#f2f1f2
#921e20,#bed3c9,#3889ac
#4a3932,#d48839,#b9aa8f
#c1b09d,#564c49,#010101
#faf2db,#3f3429,#e8bd37
#ded1ac,#3059b0,#16213f
#cfa387,#230615,#b00a32
#827048,#95c7da,#2b271b
#81610c,#050302,#dfa72a
#edeced,#c1a794,#905a44
#1e0503,#771c0a,#d6681f
#bcbca9,#635948,#5d81d4
#a5654e,#cdada0,#4d312a
#3d2a22,#e1dbdd,#af6f5d
#3b1a10,#d5682c,#ece3d8
#b8ced5,#1e485c,#bc9642
#0a141b,#6ea2c2,#af513f
#ebe1ba,#19120c,#958458
#f9f6f2,#a9735a,#392722
#211511,#e4d4ac,#79563e
#a44639,#e4bb93,#1d1417
#f0eae3,#100d0d,#7b553c
#937253,#f1e0be,#090406
#b28066,#d1ddd5,#2c2832
#237892,#83b4be,#194558
#171621,#ebecf3,#757592
#f7d24b,#993f2b,#1d4543
#e1ce96,#251815,#6f422c
#cdbda5,#181614,#6e5c4f
0,0,0
#3d3934,#cac9ba,#938a7b
#a8b3bf,#25190b,#7f6a4a
0,0,0
#2b150a,#945637,#d6b08f
#e0a439,#68532c,#080603
#0a78c0,#051e3b,#b1ccdc
#aea197,#020202,#3c382d
#cacdcc,#171721,#6c6c6f
#bebbdd,#70638c,#272536
#5d576e,#1f224e,#cba67f
#b68256,#2b1e0d,#dc3a09
#313136,#946d67,#f8eee9
#a3a2a3,#090707,#514949
#351a14,#cd6631,#f3d1a3
#271c1a,#e8550e,#ccbb85
#c2b0ae,#1d1012,#7e5c60
#cbc4be,#706c72,#1b2041
#ced0db,#6d859c,#2b353a
#12100f,#bb8455,#ede8e3
#151718,#cacace,#69595b
#a4b4c7,#26456b,#030509
#cb839a,#0d1c5f,#cc152b
#4c4245,#d3dcdf,#c86246
#595945,#cba13f,#87bfd0
#d9c28a,#844f1a,#130b0a
#6b6f70,#d2cec8,#1d1f21
#0a0905,#594834,#d5b892
#161c20,#3b5057,#9aaaaf
#13151f,#505c74,#a4b6ca
#e9b984,#a84542,#1e1514
#34393e,#ada097,#08121a
#f1e498,#832b2a,#120916
